id,suburb,salCodes,greenspace,localOpenSpaceAccess,majorParkAccess,natureCorridorAccess,localCoverageWithin400mPct,medianLocalDistanceM,medianMajorParkDistanceM,medianNatureDistanceM,residentialSampleCount,residentialPopulationWeight,censusPopulation2021,residentialPopulationCoveragePct,componentSpread,reviewFlags,rank
fawkner-house,Fawkner,20909,9.6148,9.9527,9.4144,9.0708,94.6,157.99987671352022,324.39896385588867,439.3090595161207,128,14148,14274,99.1,0.9,,45
box-hill-2br,Box Hill,20314,9.6077,10.0,9.548,8.7163,97.9,141.13793352839048,390.49739384112166,655.2483904082434,140,13579,14353,94.6,1.3,,46
established-western-value,St Albans,22330,9.5996,10.0,9.1508,9.272,96.4,154.07032782285276,477.6849203782474,402.45279956919615,342,37369,38042,98.2,0.8,,47
northcote-2br,Northcote,21971,9.5873,10.0,9.6792,8.4176,96.0,173.53761756191014,318.55164434682814,635.2393917824772,287,25110,25110,100.0,1.6,,48
point-cook-house,Point Cook,22086,9.5869,10.0,8.7962,9.7404,96.7,133.26809968419096,472.75647703982384,272.82116895226414,541,66447,66781,99.5,1.2,,49
carlton-2br,Carlton,20495,9.5624,10.0,9.2271,8.9714,100.0,95.45430141144779,519.8459154461499,499.23903657834046,121,12002,16055,74.8,1.0,lowResidentialPopulationCoverage,50
st-kilda-2br,St Kilda,22343,9.5566,10.0,9.8388,8.0249,100.0,130.21318887374622,281.48375696643865,765.2114114910331,315,19102,19490,98.0,2.0,,51
chelsea-2br,Chelsea,20537,9.5369,9.3778,9.8049,9.5327,89.1,176.86616629965656,333.386369314912,432.32276548286325,109,8331,8347,99.8,0.4,,52
thomastown-house,Thomastown,22504,9.5233,9.896,8.9765,9.4119,94.0,166.79932729180393,479.3189138290569,390.1865635518453,193,20123,20234,99.5,0.9,,53
ashburton-villa,Ashburton,20077,9.5222,9.7564,8.9887,9.7368,92.7,132.1581815256534,448.6912324189787,273.5544847542383,80,7902,7952,99.4,0.8,,54
inner-south-yarra-2br,South Yarra,22314,9.513,10.0,9.3591,8.5265,98.1,160.67881068267036,357.52778448379655,581.1515209072369,307,24046,25028,96.1,1.5,,55
inner-lowcar-benchmark,Kensington / Flemington,21327|20929,9.5112,10.0,9.1499,8.8312,100.0,82.62271672171144,433.3182723441004,583.7043745421607,203,17309,17770,97.4,1.2,,56
balwyn-2br,Balwyn,20123,9.4966,10.0,8.9983,8.9855,96.9,163.81140379724945,476.6730437070781,545.8479223915423,148,13441,13441,100.0,1.0,,57
northern-rail-value,Reservoir,22161,9.455,9.8501,8.7616,9.5075,93.6,168.7683945636762,498.69564142841114,314.39861226834574,539,50775,51096,99.4,1.1,,58
craigieburn-townhouse,Craigieburn,20661,9.4502,9.5945,9.1799,9.4949,91.1,114.73282505496404,393.6857346724091,293.9980001557148,510,64946,65178,99.6,0.4,,59
aberfeldie-house,Aberfeldie,20003,9.4501,9.2004,9.9634,9.3042,87.4,205.7863304549934,219.21351280633587,378.627439103097,38,3914,3925,99.7,0.8,,60
south-melbourne-2br,South Melbourne,22310,9.4344,9.7591,9.3984,8.6768,92.7,127.15146886543585,341.6427415398691,661.5078151624383,114,10194,11548,88.3,1.1,,61
keilor-downs-house,Keilor Downs,21315,9.428,10.0,8.4452,9.4724,100.0,116.79459277935538,607.2992065777852,413.44768119812153,95,9726,9857,98.7,1.6,,62
ivanhoe-house,Ivanhoe,21246,9.3787,10.0,8.8894,8.5596,96.3,134.46161488521784,523.3453214845716,563.8581275583055,150,13216,13374,98.8,1.4,,63
east-melbourne-2br,East Melbourne,20830,9.3639,10.0,9.949,6.8959,100.0,101.32035289422444,163.59298480128746,986.8758406516304,61,4100,4896,83.7,3.1,,64
glen-waverley-2br,Glen Waverley,21013,9.3397,10.0,8.1961,9.4042,98.7,142.97101397236983,717.0387042481714,398.3551895738923,383,41498,42642,97.3,1.8,,65
